slug,name,category,has_pe_metadata,has_installation_paths,has_capabilities,has_supported_os,has_disk,has_eventlog,has_registry,has_network,has_other,has_detections,empty_sections
chrome_remote_desktop,Chrome Remote Desktop,RAT,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
chrome_ssh_extension,Chrome SSH Extension,RAT,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
cloudflare_tunnel,CloudFlare Tunnel,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
comodo_rmm,Comodo RMM,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
connectwise,ConnectWise,RMM,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
connectwise_automate_(labtech),Connectwise Automate (LabTech),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
connectwise_control,ConnectWise Control,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
crossloop,CrossLoop,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
crosstec_remote_control,CrossTec Remote Control,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
cruzcontrol,CruzControl,RMM,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
dameware,DameWare,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
deskday,DeskDay,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
desknets,DeskNets,RMM,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
deskshare,DeskShare,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
desktopnow,DesktopNow,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
dev_tunnels_(aka_visual_studio_dev_tunnel),Dev Tunnels (aka Visual Studio Dev Tunnel),RAT,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,RAT,True,True,False,True,True,False,False,False,False,True,capabilities | eventlog | registry | network | other
distant_desktop,Distant Desktop,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
domotz,Domotz,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
dragondisk,DragonDisk,RAT,True,True,False,True,False,False,False,False,False,True,capabilities | disk | eventlog | registry | network | other
duet_display,Duet Display,RAT,True,True,True,True,False,False,False,True,False,False,disk | eventlog | registry | other | detections
duplicati,Duplicati,RAT,True,True,False,True,False,False,False,False,False,True,capabilities | disk | eventlog | registry | network | other
dw_service,DW Service,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
echoware,Echoware,RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
ehorus,eHorus,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
electric_ai_(kaseya),Electric AI (Kaseya),RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
emco_remote_console,EMCO Remote Console,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
