slug,name,url,description
getscreen,GetScreen,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/getscreen_processes_sigma.yml,Detects potential processes activity of GetScreen RMM tool
glpi,GLPI Agent,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/glpi_files_sigma.yml,Detects potential files activity of GLPI RMM tool
glpi,GLPI Agent,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/glpi_network_sigma.yml,Detects potential network activity of GLPI RMM tool
glpi,GLPI Agent,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/glpi_processes_sigma.yml,Detects potential processes activity of GLPI RMM tool
glpi,GLPI Agent,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/glpi_registry_sigma.yml,Detects potential registry activity of GLPI RMM tool
gorelormm,Gorelo RMM,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gorelo_rmm_network_sigma.yml,Detects potential network activity of Gorelo RMM RMM tool
gorelormm,Gorelo RMM,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gorelo_rmm_files_sigma.yml,Detects potential files activity of Gorelo RMM RMM tool
gotoassist,GoToAssist,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gotoassist_network_sigma.yml,Detects potential network activity of GoToAssist RMM tool
gotoassist,GoToAssist,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gotoassist_processes_sigma.yml,Detects potential processes activity of GoToAssist RMM tool
gotohttp,GotoHTTP,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gotohttp_network_sigma.yml,Detects potential network activity of GotoHTTP RMM tool
gotohttp,GotoHTTP,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gotohttp_processes_sigma.yml,Detects potential processes activity of GotoHTTP RMM tool
gotomypc,GoToMyPC,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gotomypc_registry_sigma.yml,Detects potential registry activity of GoToMyPC RMM tool
